PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"21471184","Beneficial vascular risk profile is associated with amyotrophic lateral sclerosis","Sutedja NA, van der Schouw YT, Fischer K, Sizoo EM, Huisman MH, Veldink JH, Van den Berg LH.","J Neurol Neurosurg Psychiatry. 2011 Jun;82(6):638-42. doi: 10.1136/jnnp.2010.236752. Epub 2011 Apr 6.","Sutedja NA","J Neurol Neurosurg Psychiatry","2011","2011/04/08","","","10.1136/jnnp.2010.236752"
"1775824","[Risk factors in amyotrophic lateral sclerosis. Initial results apropos of 35 cases]","Grégoire N, Serratrice G.","Rev Neurol (Paris). 1991;147(11):706-13.","Grégoire N","Rev Neurol (Paris)","1991","1991/01/01","","",""
"18370336","[Analytic epidemiological information of amyotrophic lateral sclerosis]","Matías-Guiu J, García-Ramos G, Galán L, Vela A, Guerrero A.","Neurologia. 2008 Apr;23(3):168-78.","Matías-Guiu J","Neurologia","2008","2008/03/29","","",""
"21375489","The Role of immune and inflammatory mechanisms in ALS","McCombe PA, Henderson RD.","Curr Mol Med. 2011 Apr;11(3):246-54. doi: 10.2174/156652411795243450.","McCombe PA","Curr Mol Med","2011","2011/03/08","PMC3182412","","10.2174/156652411795243450"
"33809961","An Integrative Transcriptome-Wide Analysis of Amyotrophic Lateral Sclerosis for the Identification of Potential Genetic Markers and Drug Candidates","Park S, Kim D, Song J, Joo JWJ.","Int J Mol Sci. 2021 Mar 22;22(6):3216. doi: 10.3390/ijms22063216.","Park S","Int J Mol Sci","2021","2021/04/03","PMC8004271","","10.3390/ijms22063216"
"32063408","Predictive factors for gastrostomy at time of diagnosis and impact on survival in patients with amyotrophic lateral sclerosis","Vergonjeanne M, Fayemendy P, Marin B, Penoty M, Lautrette G, Sourisseau H, Preux PM, Desport JC, Couratier P, Jésus P.","Clin Nutr. 2020 Oct;39(10):3112-3118. doi: 10.1016/j.clnu.2020.01.018. Epub 2020 Jan 31.","Vergonjeanne M","Clin Nutr","2020","2020/02/18","","","10.1016/j.clnu.2020.01.018"
"26517122","Prognostic Factors in Amyotrophic Lateral Sclerosis: A Population-Based Study","Moura MC, Novaes MR, Eduardo EJ, Zago YS, Freitas Rdel N, Casulari LA.","PLoS One. 2015 Oct 30;10(10):e0141500. doi: 10.1371/journal.pone.0141500. eCollection 2015.","Moura MC","PLoS One","2015","2015/10/31","PMC4627754","","10.1371/journal.pone.0141500"
"17641152","Head injury and amyotrophic lateral sclerosis","Chen H, Richard M, Sandler DP, Umbach DM, Kamel F.","Am J Epidemiol. 2007 Oct 1;166(7):810-6. doi: 10.1093/aje/kwm153. Epub 2007 Jul 19.","Chen H","Am J Epidemiol","2007","2007/07/21","PMC2239342","NIHMS33562","10.1093/aje/kwm153"
"24383521","Mapping amyotrophic lateral sclerosis lake risk factors across northern New England","Torbick N, Hession S, Stommel E, Caller T.","Int J Health Geogr. 2014 Jan 2;13:1. doi: 10.1186/1476-072X-13-1.","Torbick N","Int J Health Geogr","2014","2014/01/04","PMC3922844","","10.1186/1476-072X-13-1"
"20472259","[Research in amyotrophic lateral sclerosis: what is new in 2009?]","Pradat PF, Attarian S, Camdessanché JP, Carluer L, Cintas P, Corcia P, Echaniz-Laguna A, Gonzalez-Bermejo J, Guy N, Nicolas G, Perez T, Soriani MH, Vandenberghe N, Verschueren A; coordination des centres de prise en charge des patients atteints de SLA.","Rev Neurol (Paris). 2010 Aug-Sep;166(8-9):683-98. doi: 10.1016/j.neurol.2010.03.006. Epub 2010 May 15.","Pradat PF","Rev Neurol (Paris)","2010","2010/05/18","","","10.1016/j.neurol.2010.03.006"
"24555470","Life factors affecting depression and burden in amyotrophic lateral sclerosis caregivers","Qutub K, Lacomis D, Albert SM, Feingold E.","Amyotroph Lateral Scler Frontotemporal Degener. 2014 Jun;15(3-4):292-7. doi: 10.3109/21678421.2014.886699. Epub 2014 Feb 20.","Qutub K","Amyotroph Lateral Scler Frontotemporal Degener","2014","2014/02/22","","","10.3109/21678421.2014.886699"
"10023133","Physical trauma and family history of neurodegenerative diseases in amyotrophic lateral sclerosis: a population-based case-control study","Cruz DC, Nelson LM, McGuire V, Longstreth WT Jr.","Neuroepidemiology. 1999;18(2):101-10. doi: 10.1159/000069413.","Cruz DC","Neuroepidemiology","1999","1999/02/19","","","10.1159/000069413"
"1487752","Mechanical trauma as a risk factor in classic amyotrophic lateral sclerosis: lack of epidemiologic evidence","Kurland LT, Radhakrishnan K, Smith GE, Armon C, Nemetz PN.","J Neurol Sci. 1992 Dec;113(2):133-43. doi: 10.1016/0022-510x(92)90241-c.","Kurland LT","J Neurol Sci","1992","1992/12/01","","","10.1016/0022-510x(92)90241-c"
"9690754","Season of birth in amyotrophic lateral sclerosis","Ajdacic-Gross V, Wang J, Gutzwiller F.","Eur J Epidemiol. 1998 Jun;14(4):359-61. doi: 10.1023/a:1007477103292.","Ajdacic-Gross V","Eur J Epidemiol","1998","1998/08/05","","","10.1023/a:1007477103292"
"12052096","Cost effectiveness of treatments for amyotrophic lateral sclerosis: a review of the literature","Ginsberg G, Lowe S.","Pharmacoeconomics. 2002;20(6):367-87. doi: 10.2165/00019053-200220060-00002.","Ginsberg G","Pharmacoeconomics","2002","2002/06/08","","","10.2165/00019053-200220060-00002"
"33387304","Association of Single Nucleotide Polymorphism at rs2275294 in the ZNF512B Gene with Prognosis in Amyotrophic Lateral Sclerosis","Jiang H, Yang B, Wang F, Li K, Zhu Y, Liu B, Ren H, Tian S, Xu Y, Pang A, Yang X.","Neuromolecular Med. 2021 Jun;23(2):242-246. doi: 10.1007/s12017-020-08634-y. Epub 2021 Jan 2.","Jiang H","Neuromolecular Med","2021","2021/01/02","","","10.1007/s12017-020-08634-y"
"19660777","[Mechanisms of deregulated response to hypoxia in sporadic amyotrophic lateral sclerosis: a clinical study]","Moreau C, Devos D, Gosset P, Brunaud-Danel V, Tonnel AB, Lassalle P, Defebvre L, Destée A.","Rev Neurol (Paris). 2010 Mar;166(3):279-83. doi: 10.1016/j.neurol.2009.05.018. Epub 2009 Aug 5.","Moreau C","Rev Neurol (Paris)","2010","2009/08/08","","","10.1016/j.neurol.2009.05.018"
"29311650","Neuronal apoptosis inhibitory protein is implicated in amyotrophic lateral sclerosis symptoms","Kano O, Tanaka K, Kanno T, Iwasaki Y, Ikeda JE.","Sci Rep. 2018 Jan 8;8(1):6. doi: 10.1038/s41598-017-18627-w.","Kano O","Sci Rep","2018","2018/01/10","PMC5758777","","10.1038/s41598-017-18627-w"
"24727309","Venous thromboembolism in amyotrophic lateral sclerosis: a prospective study","Gladman M, Dehaan M, Pinto H, Geerts W, Zinman L.","Neurology. 2014 May 13;82(19):1674-7. doi: 10.1212/WNL.0000000000000405. Epub 2014 Apr 11.","Gladman M","Neurology","2014","2014/04/15","PMC4032202","","10.1212/WNL.0000000000000405"
"23922387","Does surgery accelerate progression of amyotrophic lateral sclerosis?","Pinto S, Swash M, de Carvalho M.","J Neurol Neurosurg Psychiatry. 2014 Jun;85(6):643-6. doi: 10.1136/jnnp-2013-305770. Epub 2013 Aug 6.","Pinto S","J Neurol Neurosurg Psychiatry","2014","2013/08/08","","","10.1136/jnnp-2013-305770"
"29274668","ATXN1 intermediate-length polyglutamine expansions are associated with amyotrophic lateral sclerosis","Lattante S, Pomponi MG, Conte A, Marangi G, Bisogni G, Patanella AK, Meleo E, Lunetta C, Riva N, Mosca L, Carrera P, Bee M, Zollino M, Sabatelli M.","Neurobiol Aging. 2018 Apr;64:157.e1-157.e5. doi: 10.1016/j.neurobiolaging.2017.11.011. Epub 2017 Nov 28.","Lattante S","Neurobiol Aging","2018","2017/12/25","","","10.1016/j.neurobiolaging.2017.11.011"
"17924237","Fatigue in amyotrophic lateral sclerosis: frequency and associated factors","Ramirez C, Piemonte ME, Callegaro D, Da Silva HC.","Amyotroph Lateral Scler. 2008 Apr;9(2):75-80. doi: 10.1080/17482960701642502.","Ramirez C","Amyotroph Lateral Scler","2008","2007/10/10","","","10.1080/17482960701642502"
"28356084","Conjugal amyotrophic lateral sclerosis: a case report from Scotland","Fernandes PM, Macleod MR, Bateman A, Abrahams S, Pal S.","BMC Neurol. 2017 Mar 29;17(1):64. doi: 10.1186/s12883-017-0847-9.","Fernandes PM","BMC Neurol","2017","2017/03/31","PMC5372255","","10.1186/s12883-017-0847-9"
"29684753","Reviewing the evidence for viruses as environmental risk factors for ALS: A new perspective","Celeste DB, Miller MS.","Cytokine. 2018 Aug;108:173-178. doi: 10.1016/j.cyto.2018.04.010. Epub 2018 Apr 21.","Celeste DB","Cytokine","2018","2018/04/24","","","10.1016/j.cyto.2018.04.010"
"8827179","Clinical epidemiology of amyotrophic lateral sclerosis","Brooks BR.","Neurol Clin. 1996 May;14(2):399-420. doi: 10.1016/s0733-8619(05)70264-4.","Brooks BR","Neurol Clin","1996","1996/05/01","","","10.1016/s0733-8619(05)70264-4"
"25385051","Prognostic factors for the course of functional status of patients with ALS: a systematic review","Creemers H, Grupstra H, Nollet F, van den Berg LH, Beelen A.","J Neurol. 2015 Jun;262(6):1407-23. doi: 10.1007/s00415-014-7564-8. Epub 2014 Nov 11.","Creemers H","J Neurol","2015","2014/11/12","","","10.1007/s00415-014-7564-8"
"17128099","[Methods of the announcement of amyotrophic lateral sclerosis diagnosis in familial forms]","Corcia P.","Rev Neurol (Paris). 2006 Jun;162 Spec No 2:4S122-4S126.","Corcia P","Rev Neurol (Paris)","2006","2006/11/28","","",""
"26468494","Motor neurone disease and military service: evidence from the Scottish Veterans Health Study","Bergman BP, Mackay DF, Pell JP.","Occup Environ Med. 2015 Dec;72(12):877-9. doi: 10.1136/oemed-2015-103066. Epub 2015 Oct 14.","Bergman BP","Occup Environ Med","2015","2015/10/16","","","10.1136/oemed-2015-103066"
"25405377","Work related etiology of amyotrophic lateral sclerosis (ALS): a meta-analysis","Capozzella A, Sacco C, Chighine A, Loreti B, Scala B, Casale T, Sinibaldi F, Tomei G, Giubilati R, Tomei F, Rosati MV.","Ann Ig. 2014 Sep-Oct;26(5):456-72. doi: 10.7416/ai.2014.2005.","Capozzella A","Ann Ig","2014","2014/11/19","","","10.7416/ai.2014.2005"
"25137152","A longer diagnostic interval is a risk for depression in amyotrophic lateral sclerosis","Caga J, Ramsey E, Hogden A, Mioshi E, Kiernan MC.","Palliat Support Care. 2015 Aug;13(4):1019-24. doi: 10.1017/S1478951514000881. Epub 2014 Aug 19.","Caga J","Palliat Support Care","2015","2014/08/20","","","10.1017/S1478951514000881"
"27490513","Prevalence of Amyotrophic Lateral Sclerosis - United States, 2012-2013","Mehta P, Kaye W, Bryan L, Larson T, Copeland T, Wu J, Muravov O, Horton K.","MMWR Surveill Summ. 2016 Aug 5;65(8):1-12. doi: 10.15585/mmwr.ss6508a1.","Mehta P","MMWR Surveill Summ","2016","2016/08/05","","","10.15585/mmwr.ss6508a1"
"24689740","Epidemiological characteristics of motor neuron disease in Chinese patients","Cui F, Liu M, Chen Y, Huang X, Cui L, Fan D, Pu C, Lu J, Zhou D, Zhang C, Yan C, Li C, Ding X, Liu Y, Li X, Jiang Y, Zhang J, Shang H, Yao X, Ding Y, Niu Q, Wang L.","Acta Neurol Scand. 2014 Aug;130(2):111-7. doi: 10.1111/ane.12240. Epub 2014 Apr 1.","Cui F","Acta Neurol Scand","2014","2014/04/03","","","10.1111/ane.12240"
"15693813","Amyotrophic lateral sclerosis and sports: a case-control study","Valenti M, Pontieri FE, Conti F, Altobelli E, Manzoni T, Frati L.","Eur J Neurol. 2005 Mar;12(3):223-5. doi: 10.1111/j.1468-1331.2004.00978.x.","Valenti M","Eur J Neurol","2005","2005/02/08","","","10.1111/j.1468-1331.2004.00978.x"
"26518423","Stratification of ALS patients' survival: a population-based study","Marin B, Couratier P, Arcuti S, Copetti M, Fontana A, Nicol M, Raymondeau M, Logroscino G, Preux PM.","J Neurol. 2016 Jan;263(1):100-11. doi: 10.1007/s00415-015-7940-z. Epub 2015 Oct 30.","Marin B","J Neurol","2016","2015/11/01","","","10.1007/s00415-015-7940-z"
"28292783","Is cardiovascular fitness a risk factor for ALS?","Turner MR.","J Neurol Neurosurg Psychiatry. 2017 Jul;88(7):538. doi: 10.1136/jnnp-2017-315606. Epub 2017 Mar 14.","Turner MR","J Neurol Neurosurg Psychiatry","2017","2017/03/16","","","10.1136/jnnp-2017-315606"
"30558238","A Comparison of Mercury Exposure from Seafood Consumption and Dental Amalgam Fillings in People with and without Amyotrophic Lateral Sclerosis (ALS): An International Online Case-Control Study","Parkin Kullmann JA, Pamphlett R.","Int J Environ Res Public Health. 2018 Dec 14;15(12):2874. doi: 10.3390/ijerph15122874.","Parkin Kullmann JA","Int J Environ Res Public Health","2018","2018/12/19","PMC6313312","","10.3390/ijerph15122874"
"25479292","A meta-analysis of observational studies of the association between chronic occupational exposure to lead and amyotrophic lateral sclerosis","Wang MD, Gomes J, Cashman NR, Little J, Krewski D.","J Occup Environ Med. 2014 Dec;56(12):1235-42. doi: 10.1097/JOM.0000000000000323.","Wang MD","J Occup Environ Med","2014","2014/12/06","PMC4243803","","10.1097/JOM.0000000000000323"
"20847461","Possible involvement of overexposure to environmental selenium in the etiology of amyotrophic lateral sclerosis: a short review","Vinceti M, Bonvicini F, Bergomi M, Malagoli C.","Ann Ist Super Sanita. 2010;46(3):279-83. doi: 10.4415/ANN_10_03_09.","Vinceti M","Ann Ist Super Sanita","2010","2010/09/18","","","10.4415/ANN_10_03_09"
"21527311","The ALS/PDC syndrome of Guam: potential biomarkers for an enigmatic disorder","McGeer PL, Steele JC.","Prog Neurobiol. 2011 Dec;95(4):663-9. doi: 10.1016/j.pneurobio.2011.04.001. Epub 2011 Apr 20.","McGeer PL","Prog Neurobiol","2011","2011/04/30","","","10.1016/j.pneurobio.2011.04.001"
"30657969","Increased ISGylation in Cases of TBI-Exposed ALS Veterans","Schwartzenburg J, Juncker M, Reed R, Desai S.","J Neuropathol Exp Neurol. 2019 Mar 1;78(3):209-218. doi: 10.1093/jnen/nly129.","Schwartzenburg J","J Neuropathol Exp Neurol","2019","2019/01/19","PMC6380302","","10.1093/jnen/nly129"
"34504168","Prognostic prediction by hypermetabolism varies depending on the nutritional status in early amyotrophic lateral sclerosis","Nakamura R, Kurihara M, Ogawa N, Kitamura A, Yamakawa I, Bamba S, Sanada M, Sasaki M, Urushitani M.","Sci Rep. 2021 Sep 9;11(1):17943. doi: 10.1038/s41598-021-97196-5.","Nakamura R","Sci Rep","2021","2021/09/10","PMC8429558","","10.1038/s41598-021-97196-5"
"29267263","CDC Grand Rounds: National Amyotrophic Lateral Sclerosis (ALS) Registry Impact, Challenges, and Future Directions","Mehta P, Horton DK, Kasarskis EJ, Tessaro E, Eisenberg MS, Laird S, Iskander J.","MMWR Morb Mortal Wkly Rep. 2017 Dec 22;66(50):1379-1382. doi: 10.15585/mmwr.mm6650a3.","Mehta P","MMWR Morb Mortal Wkly Rep","2017","2017/12/22","PMC5751576","","10.15585/mmwr.mm6650a3"
"17888545","Is erythropoietin gene a modifier factor in amyotrophic lateral sclerosis?","Ghezzi S, Del Bo R, Scarlato M, Nardini M, Carlesi C, Prelle A, Corti S, Mancuso M, Briani C, Siciliano G, Murri L, Bresolin N, Comi GP.","Neurobiol Aging. 2009 May;30(5):842-4. doi: 10.1016/j.neurobiolaging.2007.08.008. Epub 2007 Sep 20.","Ghezzi S","Neurobiol Aging","2009","2007/09/25","","","10.1016/j.neurobiolaging.2007.08.008"
"30863976","The molecular pathogenesis of superoxide dismutase 1-linked ALS is promoted by low oxygen tension","Keskin I, Forsgren E, Lehmann M, Andersen PM, Brännström T, Lange DJ, Synofzik M, Nordström U, Zetterström P, Marklund SL, Gilthorpe JD.","Acta Neuropathol. 2019 Jul;138(1):85-101. doi: 10.1007/s00401-019-01986-1. Epub 2019 Mar 12.","Keskin I","Acta Neuropathol","2019","2019/03/14","PMC6570705","","10.1007/s00401-019-01986-1"
"15948205","Acquired nucleic acid changes may trigger sporadic amyotrophic lateral sclerosis","Armon C.","Muscle Nerve. 2005 Sep;32(3):373-7. doi: 10.1002/mus.20372.","Armon C","Muscle Nerve","2005","2005/06/11","","","10.1002/mus.20372"
"21128869","The thermolabile variant of 5,10-methylenetetrahydrofolate reductase is a possible risk factor for amyotrophic lateral sclerosis","Kühnlein P, Jung H, Farkas M, Keskitalo S, Ineichen B, Jelcic I, Petersen J, Semmler A, Weller M, Ludolph AC, Linnebank M.","Amyotroph Lateral Scler. 2011 Mar;12(2):136-9. doi: 10.3109/17482968.2010.536985. Epub 2010 Dec 6.","Kühnlein P","Amyotroph Lateral Scler","2011","2010/12/07","","","10.3109/17482968.2010.536985"
"12792141","An evidence-based medicine approach to the evaluation of the role of exogenous risk factors in sporadic amyotrophic lateral sclerosis","Armon C.","Neuroepidemiology. 2003 Jul-Aug;22(4):217-28. doi: 10.1159/000070562.","Armon C","Neuroepidemiology","2003","2003/06/07","","","10.1159/000070562"
"23193897","Environmental risk factors for amyotrophic lateral sclerosis: methodological issues in epidemiologic studies","Vinceti M, Fiore M, Signorelli C, Odone A, Tesauro M, Consonni M, Arcolin E, Malagoli C, Mandrioli J, Marmiroli S, Sciacca S, Ferrante M.","Ann Ig. 2012 Sep-Oct;24(5):407-15.","Vinceti M","Ann Ig","2012","2012/12/01","","",""
"22871075","Non-steroidal anti-inflammatory drugs and amyotrophic lateral sclerosis: results from five prospective cohort studies","Fondell E, O'Reilly ÉJ, Fitzgerald KC, Falcone GJ, McCullough ML, Thun MJ, Park Y, Kolonel LN, Ascherio A.","Amyotroph Lateral Scler. 2012 Oct;13(6):573-9. doi: 10.3109/17482968.2012.703209. Epub 2012 Aug 7.","Fondell E","Amyotroph Lateral Scler","2012","2012/08/09","PMC3474335","NIHMS412163","10.3109/17482968.2012.703209"
"8937336","Prevalence and correlates of neuropsychological deficits in amyotrophic lateral sclerosis","Massman PJ, Sims J, Cooke N, Haverkamp LJ, Appel V, Appel SH.","J Neurol Neurosurg Psychiatry. 1996 Nov;61(5):450-5. doi: 10.1136/jnnp.61.5.450.","Massman PJ","J Neurol Neurosurg Psychiatry","1996","1996/11/01","PMC1074039","","10.1136/jnnp.61.5.450"
"23942216","Early-onset alopecia and amyotrophic lateral sclerosis: a cohort study","Fondell E, Fitzgerald KC, Falcone GJ, O'Reilly EJ, Ascherio A.","Am J Epidemiol. 2013 Oct 1;178(7):1146-9. doi: 10.1093/aje/kwt096. Epub 2013 Aug 13.","Fondell E","Am J Epidemiol","2013","2013/08/15","PMC3783095","","10.1093/aje/kwt096"
"27046344","Factors predicting survival in amyotrophic lateral sclerosis patients on non-invasive ventilation","Gonzalez Calzada N, Prats Soro E, Mateu Gomez L, Giro Bulta E, Cordoba Izquierdo A, Povedano Panades M, Dorca Sargatal J, Farrero Muñoz E.","Amyotroph Lateral Scler Frontotemporal Degener. 2016 Jul-Aug;17(5-6):337-42. doi: 10.3109/21678421.2016.1165256. Epub 2016 Apr 4.","Gonzalez Calzada N","Amyotroph Lateral Scler Frontotemporal Degener","2016","2016/04/06","","","10.3109/21678421.2016.1165256"
"24630593","SMN1 duplications contribute to sporadic amyotrophic lateral sclerosis susceptibility: evidence from a meta-analysis","Wang XB, Cui NH, Gao JJ, Qiu XP, Zheng F.","J Neurol Sci. 2014 May 15;340(1-2):63-8. doi: 10.1016/j.jns.2014.02.026. Epub 2014 Feb 28.","Wang XB","J Neurol Sci","2014","2014/03/18","","","10.1016/j.jns.2014.02.026"
"27108217","Physical activity, and physical activity related to sports, leisure and occupational activity as risk factors for ALS: A systematic review","Lacorte E, Ferrigno L, Leoncini E, Corbo M, Boccia S, Vanacore N.","Neurosci Biobehav Rev. 2016 Jul;66:61-79. doi: 10.1016/j.neubiorev.2016.04.007. Epub 2016 Apr 21.","Lacorte E","Neurosci Biobehav Rev","2016","2016/04/25","","","10.1016/j.neubiorev.2016.04.007"
"31738367","Survival and Prognostic Factors in C9orf72 Repeat Expansion Carriers: A Systematic Review and Meta-analysis","Glasmacher SA, Wong C, Pearson IE, Pal S.","JAMA Neurol. 2020 Mar 1;77(3):367-376. doi: 10.1001/jamaneurol.2019.3924.","Glasmacher SA","JAMA Neurol","2020","2019/11/19","PMC6865318","","10.1001/jamaneurol.2019.3924"
"22871076","Season and weather patterns at time of birth in amyotrophic lateral sclerosis","Pamphlett R, Fang F.","Amyotroph Lateral Scler. 2012 Sep;13(5):459-64. doi: 10.3109/17482968.2012.700938. Epub 2012 Aug 7.","Pamphlett R","Amyotroph Lateral Scler","2012","2012/08/09","","","10.3109/17482968.2012.700938"
"28542233","Is survival improved by the use of NIV and PEG in amyotrophic lateral sclerosis (ALS)? A post-mortem study of 80 ALS patients","Burkhardt C, Neuwirth C, Sommacal A, Andersen PM, Weber M.","PLoS One. 2017 May 23;12(5):e0177555. doi: 10.1371/journal.pone.0177555. eCollection 2017.","Burkhardt C","PLoS One","2017","2017/05/26","PMC5441602","","10.1371/journal.pone.0177555"
"25312013","Evidence for peripheral immune activation in amyotrophic lateral sclerosis","Chen X, Feng W, Huang R, Guo X, Chen Y, Zheng Z, Shang H.","J Neurol Sci. 2014 Dec 15;347(1-2):90-5. doi: 10.1016/j.jns.2014.09.025. Epub 2014 Sep 28.","Chen X","J Neurol Sci","2014","2014/10/15","","","10.1016/j.jns.2014.09.025"
"28728441","Ability of pulmonary function decline to predict death in amyotrophic lateral sclerosis patients","Enache I, Pistea C, Fleury M, Schaeffer M, Oswald-Mammosser M, Echaniz-Laguna A, Tranchant C, Meyer N, Charloux A.","Amyotroph Lateral Scler Frontotemporal Degener. 2017 Nov;18(7-8):511-518. doi: 10.1080/21678421.2017.1353097. Epub 2017 Jul 20.","Enache I","Amyotroph Lateral Scler Frontotemporal Degener","2017","2017/07/22","","","10.1080/21678421.2017.1353097"
"19364937","Amyotrophic lateral sclerosis in Sweden, 1991-2005","Fang F, Valdimarsdóttir U, Bellocco R, Ronnevi LO, Sparén P, Fall K, Ye W.","Arch Neurol. 2009 Apr;66(4):515-9. doi: 10.1001/archneurol.2009.13.","Fang F","Arch Neurol","2009","2009/04/15","","","10.1001/archneurol.2009.13"
"22034926","Incidence of amyotrophic lateral sclerosis in the Faroe Islands","Joensen P.","Acta Neurol Scand. 2012 Jul;126(1):62-6. doi: 10.1111/j.1600-0404.2011.01611.x. Epub 2011 Oct 29.","Joensen P","Acta Neurol Scand","2012","2011/11/01","","","10.1111/j.1600-0404.2011.01611.x"
"29271248","Assessing amyotrophic lateral sclerosis prevalence in Norway from 2009 to 2015 from compulsory nationwide health registers","Nakken O, Lindstrøm JC, Tysnes OB, Holmøy T.","Amyotroph Lateral Scler Frontotemporal Degener. 2018 May;19(3-4):303-310. doi: 10.1080/21678421.2017.1418004. Epub 2017 Dec 22.","Nakken O","Amyotroph Lateral Scler Frontotemporal Degener","2018","2017/12/23","","","10.1080/21678421.2017.1418004"
"25148523","Intermediate CAG repeat expansion in the ATXN2 gene is a unique genetic risk factor for ALS--a systematic review and meta-analysis of observational studies","Wang MD, Gomes J, Cashman NR, Little J, Krewski D.","PLoS One. 2014 Aug 22;9(8):e105534. doi: 10.1371/journal.pone.0105534. eCollection 2014.","Wang MD","PLoS One","2014","2014/08/23","PMC4141758","","10.1371/journal.pone.0105534"
"19922116","What we truly know about occupation as a risk factor for ALS: a critical and systematic review","Sutedja NA, Fischer K, Veldink JH, van der Heijden GJ, Kromhout H, Heederik D, Huisman MH, Wokke JJ, van den Berg LH.","Amyotroph Lateral Scler. 2009 Oct-Dec;10(5-6):295-301. doi: 10.3109/17482960802430799.","Sutedja NA","Amyotroph Lateral Scler","2009","2009/11/20","","","10.3109/17482960802430799"
"18033040","[Exogenous risk factors in sporadic ALS: a review of the literature]","Gil J, Funalot B, Torny F, Lacoste M, Couratier P.","Rev Neurol (Paris). 2007 Nov;163(11):1021-30. doi: 10.1016/s0035-3787(07)74174-7.","Gil J","Rev Neurol (Paris)","2007","2007/11/23","","","10.1016/s0035-3787(07)74174-7"
"17538776","The role of exogenous risk factors in amyotrophic lateral sclerosis in Wakayama, Japan","Kihira T, Kanno S, Miwa H, Okamoto K, Kondo T.","Amyotroph Lateral Scler. 2007 Jun;8(3):150-6. doi: 10.1080/17482960601179407.","Kihira T","Amyotroph Lateral Scler","2007","2007/06/01","","","10.1080/17482960601179407"
"28792508","DCTN1 gene analysis in Chinese patients with sporadic amyotrophic lateral sclerosis","Liu X, Yang L, Tang L, Chen L, Liu X, Fan D.","PLoS One. 2017 Aug 8;12(8):e0182572. doi: 10.1371/journal.pone.0182572. eCollection 2017.","Liu X","PLoS One","2017","2017/08/10","PMC5549744","","10.1371/journal.pone.0182572"
"20521074","Psychopathological features and suicidal ideation in amyotrophic lateral sclerosis patients","Palmieri A, Sorarù G, Albertini E, Semenza C, Vottero-Ris F, D'Ascenzo C, Querin G, Zennaro A, Pegoraro E, Angelini C.","Neurol Sci. 2010 Dec;31(6):735-40. doi: 10.1007/s10072-010-0332-3. Epub 2010 Jun 3.","Palmieri A","Neurol Sci","2010","2010/06/04","","","10.1007/s10072-010-0332-3"
"24676437","Higher risk of complications in odynophagia-associated dysphagia in amyotrophic lateral sclerosis","Luchesi KF, Kitamura S, Mourão LF.","Arq Neuropsiquiatr. 2014 Mar;72(3):203-7. doi: 10.1590/0004-282x20130244.","Luchesi KF","Arq Neuropsiquiatr","2014","2014/03/29","","","10.1590/0004-282x20130244"
"17127559","Amyotrophic lateral sclerosis: prognostic indicators of survival","Mandrioli J, Faglioni P, Nichelli P, Sola P.","Amyotroph Lateral Scler. 2006 Dec;7(4):211-20. doi: 10.1080/17482960600947648.","Mandrioli J","Amyotroph Lateral Scler","2006","2006/11/28","","","10.1080/17482960600947648"
"21907354","A predictive model for amyotrophic lateral sclerosis (ALS) diagnosis","Gupta PK, Prabhakar S, Sharma S, Anand A.","J Neurol Sci. 2012 Jan 15;312(1-2):68-72. doi: 10.1016/j.jns.2011.08.021. Epub 2011 Sep 9.","Gupta PK","J Neurol Sci","2012","2011/09/13","","","10.1016/j.jns.2011.08.021"
"26924209","The epidemiology of amyotrophic lateral sclerosis in the Mount Etna region: a possible pathogenic role of volcanogenic metals","Nicoletti A, Vasta R, Venti V, Mostile G, Lo Fermo S, Patti F, Scillieri R, De Cicco D, Volanti P, Marziolo R, Maimone D, Fiore M, Ferrante M, Zappia M.","Eur J Neurol. 2016 May;23(5):964-72. doi: 10.1111/ene.12973. Epub 2016 Feb 29.","Nicoletti A","Eur J Neurol","2016","2016/03/01","","","10.1111/ene.12973"
"22378146","NIPA1 polyalanine repeat expansions are associated with amyotrophic lateral sclerosis","Blauw HM, van Rheenen W, Koppers M, Van Damme P, Waibel S, Lemmens R, van Vught PW, Meyer T, Schulte C, Gasser T, Cuppen E, Pasterkamp RJ, Robberecht W, Ludolph AC, Veldink JH, van den Berg LH.","Hum Mol Genet. 2012 Jun 1;21(11):2497-502. doi: 10.1093/hmg/dds064. Epub 2012 Feb 28.","Blauw HM","Hum Mol Genet","2012","2012/03/02","","","10.1093/hmg/dds064"
"26799358","Accrued somatic mutations (nucleic acid changes) trigger ALS: 2005-2015 update","Armon C.","Muscle Nerve. 2016 Jun;53(6):842-9. doi: 10.1002/mus.25049. Epub 2016 Apr 8.","Armon C","Muscle Nerve","2016","2016/01/23","","","10.1002/mus.25049"
"15177192","VEGF: necessary to prevent motoneuron degeneration, sufficient to treat ALS?","Lambrechts D, Storkebaum E, Carmeliet P.","Trends Mol Med. 2004 Jun;10(6):275-82. doi: 10.1016/j.molmed.2004.04.004.","Lambrechts D","Trends Mol Med","2004","2004/06/05","","","10.1016/j.molmed.2004.04.004"
